143 52,0 /
319 102,42 *
113 113,42 +
163 10,43 *
453 57,43 *
524 63,43 $
936 83,43 *
119 108,43 *
756 121,43 *
326 135,43 *
777 0,44 *
241 4,44 *
974 18,44 *
258 22,44 *
559 79,44 *
921 89,44 *
382 103,44 *
147 130,44 &
131 43,45 *
156 47,45 *
477 95,45 @
47 110,45 =
875 117,45 *
730 122,45 *
499 135,45 *
682 5,46 *
545 18,46 *
856 23,46 *
165 54,46 @
740 59,46 /
831 65,46 *
368 77,46 @
851 90,46 *
926 99,46 *
223 105,46 *
447 34,47 *
418 86,47 +
838 111,47 -
325 117,47 *
722 4,48 *
71 14,48 *
747 26,48 =
690 40,48 *
275 47,48 *
16 66,48 *
123 70,48 +
129 75,48 *
837 81,48 %
359 91,48 *
68 95,48 *
426 99,48 *
791 122,48 $
358 36,49 *
378 108,49 =
570 0,50 *
620 10,50 *
399 15,50 *
666 19,50 *
702 41,50 *
32 49,50 *
215 66,50 +
896 79,50 *
325 83,50 *
377 92,50 *
286 115,50 =
833 4,51 *
12 58,51 /
247 62,51 *
510 71,51 *
369 87,51 *
813 98,51 *
655 66,52 *
380 81,52 *
778 102,52 *
98 110,52 *
910 113,52 *
752 123,52 #
643 13,53 *
783 17,53 *
621 34,53 %
523 46,53 -
384 54,53 &
693 71,53 *
336 89,53 *
261 58,54 $
31 62,54 /
549 78,54 *
102 98,54 *
467 107,54 -
219 118,54 *
286 127,54 +
118 135,54 $
837 10,55 *
904 21,55 *
636 26,55 *
298 30,55 *
204 34,55 $
368 39,55 $
47 49,55 *
246 93,55 *
526 112,55 *
201 5,56 *
243 80,56 *
774 98,56 *
488 105,56 #
641 118,56 *
140 132,56 *
296 35,57 *
765 43,57 *
489 48,57 *
796 76,57 +
200 94,57 *
996 113,57 *
364 125,57 *
540 7,58 *
93 11,58 +
600 66,58 *
47 86,58 =
256 106,58 *
823 135,58 *
14 16,59 +
65 22,59 -
328 42,59 *
407 74,59 +
54 92,59 *
464 95,59 *
990 100,59 #
305 111,59 *
129 116,59 #
679 126,59 *
141 131,59 +
487 25,60 -
831 35,60 /
407 51,60 *
776 55,60 *
409 59,60 $
75 67,60 *
426 82,60 *
782 87,60 @
347 107,60 *
864 135,60 *
995 4,61 *
117 30,61 -
531 42,61 *
973 70,61 *
614 95,61 *
194 114,61 *
930 131,61 *
386 8,62 *
799 38,62 *
415 84,62 *
370 100,62 %
289 106,62 $
988 121,62 =
835 16,63 +
316 22,63 *
47 26,63 *
226 42,63 =
904 51,63 =
789 63,63 *
32 92,63 /
616 111,63 *
243 3,64 -
26 11,64 *
479 34,64 %
292 79,64 *
389 96,64 *
546 135,64 $
199 45,65 @
25 66,65 *
345 74,65 #
36 83,65 *
626 88,65 *
632 102,65 @
108 107,65 *
69 112,65 *
362 115,65 *
561 122,65 &
517 127,65 +
136 1,66 *
291 5,66 *
858 11,66 *
815 17,66 &
974 28,66 *
913 38,66 $
786 53,66 @
908 60,66 &
805 78,66 *
122 92,66 *
948 96,66 *
103 43,67 *
363 47,67 *
438 65,67 *
401 113,67 %
90 123,67 =
403 132,67 *
313 1,68 &
618 6,68 *
521 18,68 $
332 26,68 *
768 57,68 *
428 77,68 *
50 81,68 @
445 85,68 @
338 89,68 =
115 127,68 *
583 13,69 @
11 67,69 *
171 94,69 *
280 98,69 *
140 110,69 *
750 115,69 %
798 121,69 %
286 132,69 *
604 5,70 *
266 18,70 $
566 43,70 =
398 56,70 *
238 61,70 *
545 9,71 *
739 13,71 *
68 30,71 -
337 34,71 *
296 47,71 -
694 81,71 #
100 87,71 @
233 111,71 *
320 5,72 $
468 24,72 *
997 40,72 *
796 65,72 *
48 71,72 /
219 94,72 &
8 125,72 *
356 18,73 +
205 53,73 -
645 81,73 *
600 89,73 *
709 101,73 &
625 3,74 $
681 24,74 *
870 35,74 -
907 42,74 *
142 57,74 *
173 62,74 /
859 68,74 /
802 85,74 *
741 113,74 *
289 118,74 *
74 122,74 *
244 9,75 *
908 18,75 $
501 89,75 *
92 98,75 *
576 25,76 $
384 29,76 *
111 34,76 *
127 54,76 *
720 71,76 *
898 78,76 /
534 85,76 *
347 105,76 *
487 132,76 *
610 4,77 *
922 10,77 *
381 45,77 *
36 49,77 *
665 93,77 *
843 97,77 *
754 112,77 *
470 116,77 *
690 121,77 #
135 18,78 *
142 28,78 *
242 32,78 *
775 69,78 *
67 86,78 *
576 106,78 *
249 5,79 *
735 12,79 $
402 61,79 -
903 73,79 -
667 78,79 *
419 82,79 *
526 91,79 *
294 102,79 +
361 1,80 *
418 16,80 *
659 20,80 *
575 24,80 *
910 46,80 *
367 53,80 *
950 67,80 *
308 107,80 *
690 10,81 -
797 28,81 *
160 77,81 *
61 90,81 *
141 117,81 *
402 125,81 @
599 131,81 *
505 3,82 *
288 20,82 %
525 32,82 %
355 47,82 *
324 53,82 *
876 73,82 *
538 93,82 #
39 98,82 #
482 104,82 *
696 109,82 *
401 15,83 *
884 39,83 *
86 134,83 *
484 9,84 *
38 19,84 *
370 23,84 @
328 34,84 *
553 51,84 *
845 61,84 &
662 69,84 &
46 107,84 *
407 5,85 *
310 38,85 *
765 73,85 %
672 78,85 %
832 93,85 /
657 121,85 %
555 128,85 &
107 10,86 *
789 14,86 *
200 19,86 *
898 48,86 *
545 53,86 &
101 107,86 *
742 111,86 *
422 117,86 @
622 132,86 /
292 34,87 *
243 67,87 +
651 72,87 *
178 79,87 +
665 85,87 *
92 125,87 =
814 20,88 *
220 30,88 *
906 39,88 &
879 61,88 *
995 101,88 /
185 112,88 *
18 116,88 #
198 134,88 *
791 11,89 *
808 16,89 =
984 24,89 *
985 46,89 $
871 52,89 *
678 56,89 *
340 75,89 *
973 94,89 -
253 107,89 /
92 35,90 *
411 38,90 &
835 62,90 *
279 133,90 *
926 4,91 /
292 11,91 *
839 25,91 *
333 31,91 *
115 48,91 *
336 82,91 %
350 90,91 *
966 101,91 #
999 110,91 *
908 121,91 $
497 36,92 =
994 55,92 *
447 68,92 =
131 77,92 &
394 30,93 *
417 48,93 *
719 88,93 *
992 110,93 *
960 10,94 $
698 14,94 -
610 22,94 /
986 26,94 *
776 39,94 *
516 52,94 *
34 58,94 *
75 72,94 *
751 77,94 =
651 100,94 +
300 115,94 *
364 129,94 -
905 133,94 -
317 3,95 &
783 65,95 &
655 83,95 $
310 93,95 %
339 105,95 =
256 125,95 *
107 7,96 *
276 28,96 *
136 32,96 +
905 37,96 $
548 46,96 @
334 59,96 *
471 71,96 *
279 109,96 *
696 118,96 *
343 0,97 &
733 13,97 -
515 24,97 @
357 42,97 -
301 51,97 %
348 64,97 *
118 86,97 *
439 102,97 *
922 132,97 *
754 4,98 *
646 19,98 @
929 60,98 *
475 80,98 &
785 96,98 &
684 108,98 *
463 25,99 #
59 33,99 /
609 36,99 *
168 50,99 *
863 54,99 *
801 76,99 *
211 85,99 *
382 90,99 *
347 103,99 *
28 118,99 *
473 133,99 *
725 17,100 *
79 44,100 *
978 72,100 *
199 110,100 *
579 128,100 *
157 27,101 *
662 31,101 *
958 38,101 *
546 60,101 @
181 84,101 *
416 90,101 *
258 116,101 *
421 124,101 *
859 3,102 @
777 12,102 =
217 45,102 *
817 70,102 *
597 74,102 *
655 80,102 &
76 101,102 *
443 108,102 *
170 7,103 &
217 84,103 $
253 91,103 *
438 96,103 $
971 31,104 +
876 36,104 =
205 54,104 *
394 62,104 =
502 66,104 =
40 103,104 *
894 2,105 +
718 21,105 *
544 87,105 *
102 111,105 *
951 130,105 *
615 135,105 *
865 11,106 *
298 54,106 *
721 58,106 /
165 97,106 *
741 101,106 *
794 105,106 *
878 19,107 *
947 73,107 *
314 87,107 *
999 109,107 *
493 124,107 &
996 132,107 *
330 136,107 *
705 11,108 *
79 23,108 /
994 33,108 $
645 37,108 @
203 45,108 *
258 49,108 *
706 63,108 *
227 69,108 *
590 96,108 *
822 103,108 *
468 5,109 *
311 18,109 *
23 27,109 @
588 59,109 *
317 75,109 *
113 84,109 +
857 91,109 *
19 107,109 *
260 114,109 &
251 126,109 =
772 134,109 *
11 9,110 *
175 14,110 *
259 64,110 *
509 70,110 *
443 98,110 *
487 103,110 *
73 110,110 #
161 5,111 *
832 54,111 *
611 60,111 *
609 74,111 *
742 79,111 *
938 91,111 *
909 116,111 @
66 124,111 *
232 127,111 *
630 28,112 =
477 47,112 %
601 98,112 *
158 111,112 @
201 133,112 *
864 137,112 *
198 58,113 *
418 86,113 =
60 92,113 *
904 106,113 *
663 6,114 *
250 11,114 =
281 33,114 -
905 40,114 +
187 48,114 *
852 75,114 =
517 102,114 *
865 19,115 *
826 23,115 *
679 44,115 +
160 55,115 %
576 60,115 #
462 84,115 +
717 91,115 *
389 116,115 *
783 127,115 *
988 7,116 *
79 29,116 %
441 33,116 *
474 48,116 *
298 76,116 *
511 103,116 &
445 107,116 &
463 123,116 *
91 11,117 *
807 17,117 *
173 40,117 @
27 57,117 #
937 83,117 /
353 87,117 *
85 95,117 /
510 99,117 *
109 116,117 *
70 133,117 @
955 31,118 *
75 49,118 *
32 72,118 *
221 77,118 *
234 103,118 +
481 109,118 /
841 120,118 #
593 11,119 *
864 20,119 *
932 44,119 *
960 57,119 *
160 68,119 *
953 85,119 *
385 96,119 *
702 1,120 *
596 7,120 #
952 40,120 *
20 49,120 *
257 92,120 *
839 129,120 *
618 25,121 *
693 33,121 $
333 67,121 *
87 71,121 *
268 88,121 *
775 98,121 *
699 119,121 *
710 123,121 *
586 15,122 #
818 21,122 #
723 38,122 *
437 48,122 *
148 62,122 &
333 84,122 -
821 127,122 *
651 135,122 $
982 25,123 *
360 34,123 *
757 44,123 #
706 52,123 *
245 76,123 *
571 105,123 *
544 115,123 *
381 4,124 #
657 29,124 *
112 66,124 *
388 90,124 &
556 99,124 #
428 109,124 *
398 10,125 *
688 14,125 *
900 18,125 @
674 24,125 *
284 36,125 *
860 40,125 *
588 74,125 *
47 94,125 &
280 114,125 *
86 129,125 -
526 5,126 #
154 45,126 *
267 54,126 -
960 59,126 %
563 68,126 +
29 78,126 *
398 87,126 *
309 98,126 #
849 106,126 @
240 119,126 *
685 123,126 *
692 23,127 *
420 27,127 *
978 31,127 #
261 50,127 *
492 83,127 *
957 93,127 $
979 110,127 /
254 131,127 *
691 135,127 *
978 3,128 #
131 10,128 *
980 14,128 *
925 42,128 *
627 54,128 %
519 63,128 +
368 70,128 *
324 76,128 *
52 120,128 =
453 20,129 +
400 31,129 $
745 80,129 *
838 100,129 $
118 110,129 *
815 128,129 *
679 4,130 *
796 13,130 %
75 40,130 $
290 45,130 *
195 50,130 *
307 60,130 *
340 66,130 *
403 87,130 +
165 96,130 -
26 104,130 #
711 124,130 *
100 17,131 *
440 21,131 *
206 33,131 $
254 70,131 *
990 83,131 *
380 113,131 *
535 128,131 *
988 10,132 %
399 42,132 *
723 47,132 *
49 107,132 $
422 120,132 -
800 3,133 *
183 16,133 *
117 21,133 *
375 26,133 *
807 52,133 *
691 56,133 *
981 67,133 $
890 86,133 *
622 96,133 *
97 102,133 /
413 7,134 *
129 11,134 *
729 39,134 &
137 47,134 &
956 61,134 *
334 131,134 @
313 3,135 *
794 16,135 -
807 22,135 *
698 31,135 *
874 51,135 *
655 106,135 *
193 27,136 *
547 43,136 *
459 55,136 *
338 63,136 *
489 69,136 *
483 84,136 *
115 90,136 @
125 95,136 $
220 117,136 /
907 4,137 *
361 9,137 *
243 18,137 -
834 23,137 *
987 39,137 *
149 47,137 *
509 103,137 *
698 108,137 *
142 112,137 *
750 126,137 =
611 59,138 @
21 70,138 *
251 74,138 &
578 85,138 *
717 120,138 @
47 130,138 #
610 25,139 *
892 44,139 *
299 78,139 &
721 108,139 *
729 113,139 *
533830
